ano,categoria,noticias
2019,Corrup??o/desvio,106
2019,Tr?fico de drogas,58
2019,Crimes contra crian?a,35
2019,Falsifica??es,31
2019,Crime roubo furto,30
2020,Corrup??o/desvio,213
2020,Tr?fico de drogas,103
2020,Crimes ambientais,85
2020,Crimes contra crian?a,64
2020,Falsifica??es,44
2021,Corrup??o/desvio,179
2021,Tr?fico de drogas,164
2021,Crimes ambientais,102
2021,Crimes contra crian?a,83
2021,Fraude previdenci?ria,81
2022,Corrup??o/desvio,129
2022,Tr?fico de drogas,127
2022,Crimes contra crian?a,98
2022,Crimes ambientais,67
2022,Falsifica??es,67
2023,Crimes contra crian?a,157
2023,Tr?fico de drogas,124
2023,Corrup??o/desvio,93
2023,Crimes ambientais,70
2023,Contrabando/descaminho,67
2024,Crimes contra crian?a,398
2024,Tr?fico de drogas,261
2024,Corrup??o/desvio,186
2024,Crimes ambientais,151
2024,Contrabando/descaminho,116
2025,Crimes contra crian?a,345
2025,Tr?fico de drogas,286
2025,Corrup??o/desvio,182
2025,Crimes ambientais,142
2025,Contrabando/descaminho,115
2026,Tr?fico de drogas,111
2026,Crimes contra crian?a,109
2026,Corrup??o/desvio,64
2026,Contrabando/descaminho,45
2026,Crimes ambientais,38
